,H
2013-10-14,25.70399999999995
2013-10-15,25.66899999999987
2013-10-16,25.621999999999844
2013-10-17,25.597999999999956
2013-10-18,25.626999999999953
2013-10-19,25.626999999999953
2013-10-20,25.597999999999956
2013-10-21,25.579999999999927
2013-10-22,25.567999999999984
2013-10-23,25.54399999999987
2013-10-24,25.531999999999925
2013-10-25,25.53800000000001
2013-10-26,25.52599999999984
2013-10-27,25.490999999999985
2013-10-28,24.396199999999908
2013-10-29,23.30139999999983
2013-10-30,22.206599999999753
2013-10-31,21.111799999999675
2013-11-01,20.016999999999598
2013-11-02,18.92219999999952
2013-11-03,17.827399999999443
2013-11-04,16.732599999999366
2013-11-05,15.637799999999288
2013-11-29,14.542999999999893
2013-11-30,14.113999999999805
2013-12-01,13.615000000000009
2013-12-02,13.088999999999942
2013-12-03,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,
2015-02-19,23.07399999999984
2015-02-20,23.182000000000016
2015-02-21,23.307000000000016
2015-02-22,23.455999999999904
2015-02-23,23.551999999999907
2015-02-24,23.676999999999907
2015-02-25,23.88499999999999
2015-02-26,24.00999999999999
2015-02-27,24.098999999999933
2015-02-28,24.214999999999918
2015-03-01,23.81399999999985
2015-03-02,23.27800000000002
2015-03-03,22.830999999999904
2015-03-04,22.338999999999942
2015-03-05,21.840999999999894
2015-03-06,21.309999999999945
2015-03-07,20.776999999999816
2015-03-08,20.25499999999988
2015-03-09,19.70699999999988
2015-03-10,19.17599999999993
2015-03-11,18.715999999999894
2015-03-12,18.167999999999893
2015-03-13,17.576000000000022
2015-03-14,16.94399999999996
2015-03-15,16.29099999999994
2015-03-16,15.685999999999922
2015-03-17,15.033999999999878
2015-03-18,14.34199999999987
2015-03-19,13.735999999999876
2015-03-20,13.101999999999862
2015-03-21,13.089999999999918
2015-03-22,13.279999999999973
2015-03-23,13.558999999999969
2015-03-24,13.824999999999818
2015-03-25,14.077999999999975
2015-03-26,14.361999999999853
2015-03-27,14.670999999999822
2015-03-28,14.909999999999854
2015-03-29,15.166999999999916
2015-03-30,15.398999999999887
2015-03-31,15.587999999999965
2015-04-01,14.980000000000018
2015-04-02,14.311999999999898
2015-04-03,13.661999999999807
2015-04-04,13.001999999999953
2015-04-05,12.339999999999918
2015-04-06,11.649999999999864
2015-04-07,10.944999999999936
2015-04-08,10.255999999999858
2015-04-09,9.504999999999882
2015-04-10,8.666999999999916
2015-04-11,7.727999999999838
2015-04-12,6.742999999999938
2015-04-13,5.647999999999911
2015-04-14,4.798999999999978
2015-04-15,4.339999999999918
2015-04-16,3.9659999999998945
2015-04-17,3.66599999999994
2015-04-18,3.4179999999998927
2015-04-19,3.189999999999827
2015-04-20,2.9689999999998236
2015-04-21,2.74799999999982
2015-04-22,2.5329999999999018
2015-04-23,2.4049999999999727
2015-04-24,2.2972500000000764
2015-04-25,2.1894999999999527
2015-04-26,2.081749999999829
2015-04-27,1.9739999999999327
2015-04-28,1.8659999999999854
2015-04-29,1.7309999999999945
2015-04-30,1.6639999999999873
2015-05-01,1.6169999999999618
2015-05-02,1.5289999999999964
2015-05-03,1.4409999999998035
2015-05-04,1.3669999999999618
2015-05-05,1.2989999999999782
2015-05-06,1.2590000000000146
2015-05-07,1.224999999999909
2015-05-08,1.1569999999999254
2015-05-09,1.1299999999998818
2015-05-10,1.1099999999999
2015-05-11,1.0489999999999782
2015-05-12,0.9949999999998909
2015-05-13,0.9679999999998472
2015-05-14,0.9479999999998654
2015-05-15,0.8799999999998818
2015-05-16,1.6589999999998781
2015-05-17,2.5559999999998126
2015-05-18,3.481999999999971
2015-05-19,4.44399999999996
2015-05-20,5.453999999999951
2015-05-21,6.649999999999864
2015-05-22,7.778999999999996
2015-05-23,8.797000000000025
2015-05-24,9.634000000000015
2015-05-25,10.209999999999809
2015-05-26,10.635999999999967
2015-05-27,10.661999999999807
2015-05-28,10.886999999999944
2015-05-29,11.573999999999842
2015-05-30,12.19399999999996
2015-05-31,12.901999999999816
2015-06-01,13.649999999999864
2015-06-02,14.199999999999818
2015-06-03,14.256999999999834
2015-06-04,14.357999999999947
2015-06-05,14.326999999999998
2015-06-06,14.111999999999853
2015-06-07,13.92899999999986
2015-06-08,14.011999999999944
2015-06-09,14.049999999999955
2015-06-10,14.15099999999984
2015-06-11,14.326999999999998
2015-06-12,14.276999999999816
2015-06-13,14.182000000000016
2015-06-14,14.125999999999976
2015-06-15,13.954999999999927
2015-06-16,14.049999999999955
2015-06-17,15.261499999999842
2015-06-18,16.09699999999998
2015-06-19,16.370999999999867
2015-06-20,16.047000000000025
2015-06-21,16.07199999999989
2015-06-22,16.704499999999825
2015-06-23,17.030499999999847
2015-06-24,16.80699999999979
2015-06-25,16.551999999999907
2015-06-26,15.934999999999945
2015-06-27,15.481166666666695
2015-06-28,15.027333333333445
2015-06-29,14.573500000000195
2015-06-30,14.119666666666944
2015-07-01,13.665833333333694
2015-07-11,13.211999999999989
2015-07-12,12.833999999999833
2015-07-13,12.57899999999995
2015-07-14,12.278999999999996
2015-07-15,11.972999999999956
2015-07-16,11.65300000000002
2015-07-17,11.588999999999942
2015-07-18,11.408999999999878
2015-07-19,10.959999999999809
2015-07-20,10.231999999999971
2015-07-21,9.875999999999976
2015-07-22,9.338999999999942
2015-07-23,9.000999999999976
2015-07-24,8.68899999999985
2015-07-25,8.707999999999856
2015-07-26,8.974999999999909
2015-07-27,8.714999999999918
2015-07-28,8.974999999999909
2015-07-29,9.571999999999889
2015-07-30,9.817999999999984
2015-07-31,12.004999999999882
2015-08-01,15.030333333333374
2015-08-02,16.71349999999984
2015-08-03,17.131583333333083
2015-08-04,17.048333333333176
2015-08-05,16.657416666666677
2015-08-06,16.31441666666683
2015-08-07,15.898083333333261
2015-08-08,15.472083333333103
2015-08-09,14.97866666666664
2015-08-10,14.342249999999922
2015-08-11,13.903416666666544
2015-08-12,13.033500000000231
2015-08-13,11.969166666666752
2015-08-14,11.09174999999982
2015-08-15,10.877999999999929
2015-08-16,10.360583333333352
2015-08-17,9.677999999999884
2015-08-18,8.790666666666539
2015-08-19,7.7719999999999345
2015-08-20,6.791166666666641
2015-08-21,6.123749999999973
2015-08-22,5.424333333333152
2015-08-23,4.982083333333321
2015-08-24,4.671166666666522
2015-08-25,4.56699999999978
2015-08-26,5.4553333333333285
2015-08-27,6.832333333333054
2015-08-28,8.387249999999995
2015-08-29,9.833583333333308
2015-08-30,11.105249999999842
2015-08-31,12.324583333333067
2015-09-01,13.361333333333278
2015-09-02,14.166999999999916
2015-09-03,14.844083333333174
2015-09-04,15.522166666666408
2015-09-05,16.26359999999977
2015-09-06,17.082999999999856
2015-09-07,17.80699999999979
2015-09-08,18.52800000000002
2015-09-09,19.20550000000003
2015-09-10,20.011999999999716
2015-09-11,20.59199999999987
2015-09-12,21.076999999999998
2015-09-13,20.610499999999774
2015-09-14,20.227999999999838
2015-09-15,19.55099999999993
2015-09-16,18.778999999999996
2015-09-17,18.342999999999847
2015-09-18,17.73199999999997
2015-09-19,17.044999999999845
2015-09-20,16.347999999999956
2015-09-21,15.652000000000044
2015-09-22,14.983999999999924
